Team Name,Record,Pts,Pts/game
 
Florida,18-5-4,40,1.48
Tampa Bay,19-5-2,40,1.54
Carolina,19-6-1,39,1.5
Chicago,14-10-5,33,1.14
Columbus,11-12-6,28,0.97
Nashville,11-16-1,23,0.82
Dallas,8-9-6,22,0.96
Detroit,8-16-4,20,0.71
 
NY Islanders,18-6-4,40,1.43
Washington,17-6-4,38,1.41
Pittsburgh,17-9-1,35,1.3
Boston,14-7-4,32,1.28
Philadelphia,13-9-3,29,1.16
NY Rangers,11-12-3,25,0.96
New Jersey,8-13-3,19,0.79
Buffalo,6-16-4,16,0.62
 
Toronto,19-8-2,40,1.38
Edmonton,18-12-0,36,1.2
Winnipeg,17-8-2,36,1.33
Montreal,12-8-7,31,1.15
Calgary,13-12-3,29,1.04
Vancouver,13-16-2,28,0.9
Ottawa,9-20-1,19,0.63
 
Vegas,18-6-1,37,1.48
Minnesota,16-8-1,33,1.32
St. Louis,14-9-5,33,1.18
Colorado,15-8-2,32,1.28
Arizona,12-11-4,28,1.04
Los Angeles,11-9-6,28,1.08
San Jose,11-11-3,25,1.0
Anaheim,8-15-6,22,0.76
